counts1,counts2,count3,fold1,fold2,fold3
4.7,11.2,14.9,0.4,0.3,0.8
32.6,68.9,35.1,0.5,0.9,2.0
40.9,113.7,71.6,0.4,0.6,1.6
1.9,5.6,2.7,0.3,0.7,2.1
0.9,0.8,1.4,1.2,0.7,0.6
1.9,0.8,1.4,2.3,1.4,0.6
2.8,0.0,1.4,22.7,2.1,0.1
13.0,17.6,8.1,0.7,1.6,2.2
9.3,31.2,8.1,0.3,1.1,3.9
109.8,120.1,100.0,0.9,1.1,1.2
75.4,89.7,74.3,0.8,1.0,1.2
0.9,4.8,2.7,0.2,0.3,1.8
7.4,9.6,8.1,0.8,0.9,1.2
1.9,2.4,2.7,0.8,0.7,0.9
5.6,1.6,5.4,3.5,1.0,0.3
13.0,4.8,10.8,2.7,1.2,0.4
8.4,0.0,8.1,68.1,1.0,0.0
14.9,9.6,12.2,1.5,1.2,0.8
1.9,2.4,1.4,0.8,1.4,1.8
3.7,8.0,2.7,0.5,1.4,3.0
18.6,31.2,17.6,0.6,1.1,1.8
5.6,29.6,5.4,0.2,1.0,5.5
37.2,104.9,78.3,0.4,0.5,1.3
7.4,7.2,6.8,1.0,1.1,1.1
1.9,3.2,2.7,0.6,0.7,1.2
3.7,6.4,14.9,0.6,0.3,0.4
21.4,19.2,13.5,1.1,1.6,1.4
19.5,20.0,17.6,1.0,1.1,1.1
24.2,16.0,12.2,1.5,2.0,1.3
9.3,21.6,14.9,0.4,0.6,1.5
18.6,24.0,13.5,0.8,1.4,1.8
51.2,25.6,14.9,2.0,3.4,1.7
100.5,25.6,28.4,3.9,3.5,0.9
3.7,0.0,4.1,30.3,0.9,0.0
14.9,8.0,12.2,1.9,1.2,0.7
19.5,25.6,14.9,0.8,1.3,1.7
2.8,12.8,4.1,0.2,0.7,3.2
8.4,12.8,6.8,0.7,1.2,1.9
8.4,11.2,10.8,0.7,0.8,1.0
41.9,52.0,45.9,0.8,0.9,1.1
44.7,40.8,41.9,1.1,1.1,1.0
21.4,31.2,20.3,0.7,1.1,1.5
156.3,187.4,152.6,0.8,1.0,1.2
20.5,32.8,24.3,0.6,0.8,1.4
82.8,176.2,85.1,0.5,1.0,2.1
54.9,17.6,68.9,3.1,0.8,0.3
60.5,119.3,131.0,0.5,0.5,0.9
27.0,35.2,25.7,0.8,1.1,1.4
